"","date","L001_TOTAL NITROGEN_mg/L","days"
"1",2014-06-04,1.54,4
"2",2014-07-15,1.28,45
"3",2014-08-05,1.55,66
"4",2014-09-02,1.32,94
"5",2014-10-07,1.08,129
"6",2014-11-04,1.06,157
"7",2014-12-02,1.26,185
"8",2015-01-06,1.13,220
"9",2015-02-03,1.64,248
"10",2015-03-03,1.27,276
"11",2015-04-07,1.11,311
"12",2015-05-12,1.26,346
"13",2015-06-03,1.38,368
"14",2015-07-08,2.88,403
"15",2015-08-04,1.08,430
"16",2015-09-01,1.36,458
"17",2015-10-06,1.11,493
"18",2015-11-04,1.05,522
"19",2015-12-01,1.15,549
"20",2016-01-11,1.52,590
"21",2016-02-02,1.29,612
"22",2016-03-01,1.38,640
"23",2016-04-05,1.3,675
"24",2016-05-03,1.29,703
"25",2016-06-14,1.13,745
"26",2016-07-11,1.37,772
"27",2016-08-02,1.22,794
"28",2016-09-06,1.24,829
"29",2016-10-18,1.44,871
"30",2016-11-01,1.49,885
"31",2016-12-07,1.32,921
"32",2017-01-09,2.67,954
"33",2017-02-07,1.23,983
"34",2017-03-22,1.52,1026
"35",2017-04-17,1.31,1052
"36",2017-05-23,2.16,1088
"37",2017-06-20,1.6,1116
"38",2017-07-10,1.28,1136
"39",2017-08-14,1.64,1171
"40",2017-09-18,1.42,1206
"41",2017-10-10,1.42,1228
"42",2017-11-07,1.61,1256
"43",2017-12-05,1.57,1284
"44",2018-01-17,2.96,1327
"45",2018-02-06,1.79,1347
"46",2018-03-06,1.87,1375
"47",2018-04-03,1.7,1403
"48",2018-05-01,1.71,1431
"49",2018-06-05,1.67,1466
"50",2018-07-17,1.66,1508
"51",2018-08-14,1.37,1536
"52",2018-09-04,1.32,1557
"53",2018-10-16,1.28,1599
"54",2018-11-06,1.12,1620
"55",2018-12-04,1.14,1648
"56",2019-01-08,1.49,1683
"57",2019-02-12,1.47,1718
"58",2019-03-12,1.48,1746
"59",2019-04-02,1.65,1767
"60",2019-05-08,1.37,1803
"61",2019-06-05,1.47,1831
"62",2019-07-09,1.65,1865
"63",2019-08-06,1.56,1893
"64",2019-09-09,1.38,1927
"65",2019-10-01,1.58,1949
"66",2019-11-05,1.36,1984
"67",2019-12-03,1.61,2012
"68",2020-01-14,1.46,2054
"69",2020-02-04,1.4,2075
"70",2020-02-12,1.42,2083
"71",2020-03-10,1.61,2110
"72",2020-04-07,1.44,2138
"73",2020-05-05,1.48,2166
"74",2020-05-20,1.47,2181
"75",2020-06-02,1.59,2194
"76",2020-06-23,1.72,2215
"77",2020-07-07,2.27,2229
"78",2020-07-21,1.63,2243
"79",2020-08-04,1.41,2257
"80",2020-08-25,1.8,2278
"81",2020-09-08,1.2,2292
"82",2020-09-23,1.42,2307
"83",2020-10-06,1.22,2320
"84",2020-10-21,1.34,2335
"85",2020-11-17,1.58,2362
"86",2020-12-15,1.15,2390
"87",2021-01-05,1.5,2411
"88",2021-02-09,1.26,2446
"89",2021-03-10,1.4,2475
"90",2021-04-06,1.72,2502
"91",2021-05-04,1.46,2530
"92",2021-05-18,1.62,2544
"93",2021-06-08,1.74,2565
"94",2021-06-22,1.56,2579
"95",2021-07-08,1.27,2595
"96",2021-07-20,1.37,2607
"97",2021-08-03,1.72,2621
"98",2021-08-24,1.55,2642
"99",2021-09-08,1.37,2657
"100",2021-09-21,1.34,2670
"101",2021-10-05,1.21,2684
"102",2021-10-19,1.14,2698
"103",2021-11-02,1.14,2712
"104",2021-12-07,1.15,2747
"105",2022-01-04,1.46,2775
"106",2022-02-08,0.929,2810
"107",2022-03-08,1.29,2838
"108",2022-04-05,1.5,2866
"109",2022-05-03,1.55,2894
"110",2022-05-18,1.54,2909
"111",2022-06-07,1.58,2929
"112",2022-06-21,1.75,2943
"113",2022-07-06,1.24,2958
"114",2022-07-19,1.41,2971
"115",2022-08-02,1.18,2985
"116",2022-08-16,1.36,2999
"117",2022-09-06,1.07,3020
"118",2022-09-20,1.37,3034
"119",2022-10-04,2.12,3048
"120",2022-10-18,1.33,3062
"121",2022-11-15,1.56,3090
"122",2022-12-06,1.06,3111
"123",2023-01-10,1.51,3146
"124",2023-02-07,1.89,3174
"125",2023-03-07,1.09,3202
"126",2023-04-04,1.68,3230
"127",2023-05-02,2.04,3258
