"Date","S133_PHOSPHATE, TOTAL AS P_mg/L","S133_P_FLOW_cfs"
"2000-01-24",0.0745,513291.549601152
"2001-10-08",0.2558,449582.722377062
"2001-10-22",0.2612,590847.99441696
"2002-01-22",0.0765,533108.811525696
"2002-05-13",0.0563333333333333,28257.947559072
"2002-07-22",0.39,490342.670977421
"2003-08-04",0.2,463259.079680544
"2003-08-18",0.2,281845.502926848
"2003-09-02",0.193,389396.963939558
"2003-12-15",0.154,431502.529090349
"2004-10-04",0.542,235262.704526438
"2004-11-01",0.213,248033.828877811
"2004-11-15",0.108,232008.759049939
"2004-12-20",0.18,419000.528049062
"2005-01-03",0.233,467858.641707475
"2005-06-27",0.274,332489.616734016
"2005-08-08",0.184,169033.904489722
"2005-09-20",0.128,257526.541997222
"2005-11-01",0.402,355340.632335898
"2008-08-28",0.634,941882.653791475
"2008-10-22",0.236,379121.34664535
"2008-12-17",0.171,217598.429082586
"2010-03-17",0.062,304720.984284192
"2010-04-21",0.251,264156.761727533
"2010-09-29",0.165,516839.0841432
"2011-10-19",0.233,661969.945546157
"2012-09-05",0.434,420248.281577645
"2012-09-20",0.273,223250.0185944
"2012-10-17",0.237,151491.957823181
"2013-06-05",0.107,50790.9083399424
"2013-08-07",0.272,580743.637410989
"2014-03-17",0.216,129448.312151558
"2014-07-07",0.211,153180.094950086
"2014-07-21",0.267,625540.435662643
"2014-08-18",0.175,400773.540229574
"2014-09-08",0.185,105276.145754707
"2014-09-22",0.211,935007.776506541
"2014-10-06",0.225,5700.5210227392
"2014-12-01",0.124,277025.749100755
"2015-08-31",0.063,346997.809723219
"2015-09-28",0.221,263031.336976262
"2015-11-23",0.115,5822.8498000512
"2016-01-20",0.181,323461.75296839
"2016-02-15",0.245,131038.586256614
"2016-06-06",0.165,430817.487937402
"2016-06-20",0.177,334006.493572685
"2016-08-15",0.17,411049.157523782
"2016-09-12",0.283,270028.543038509
"2017-02-13",0.18,2030.6577033792
"2017-09-13",0.411,685848.522877459
"2017-09-25",0.432,152935.437395462
"2017-10-09",0.358,480434.040015149
"2017-10-23",0.738,189291.550012589
"2017-11-06",0.257,331902.438602918
"2017-11-20",0.236,292561.503819379
"2017-12-18",0.198,445081.023371981
"2018-01-16",0.188,408211.129890144
"2018-05-21",0.305,636965.943463584
"2018-06-04",0.38,312917.012364096
"2018-06-18",0.297,198710.865865613
"2018-07-02",0.179,242015.253034061
"2018-07-16",0.226,172312.315721683
"2018-07-30",0.162,324269.12289865
"2018-08-27",0.173,250113.418092115
"2018-09-10",0.134,354582.193916563
"2018-09-24",0.164,332220.49342393
"2019-08-12",0.145,336012.685520602
"2019-08-26",0.349,77752.1708595072
"2020-06-15",0.129,48001.8122172288
"2020-07-27",0.084,90572.2267218048
"2020-08-10",0.177,261098.542294733
"2020-08-24",0.151,109826.776270714
"2020-09-08",0.249,514441.440107885
"2020-09-21",0.252,736835.157261101
"2020-10-05",0.275,1032870.79835614
"2020-10-19",0.263,446940.420787123
"2020-11-02",0.184,206417.578836269
"2020-11-16",0.36,297992.901532032
"2020-11-30",0.267,250064.48658119
"2020-12-14",0.183,123723.325373357
"2020-12-28",0.158,331462.055004595
"2021-02-08",0.176,510942.837076762
"2021-02-22",0.204,334593.671703782
"2021-03-08",0.187,272988.899449459
"2021-04-19",0.169,338067.808979443
"2021-07-26",0.256,75990.6364662144
"2021-08-09",0.19,78950.9928771648
"2021-09-07",0.144,115037.982184205
"2021-09-20",0.192,129007.928553235
"2021-10-04",0.21,75403.4583351168
"2021-11-29",0.142,192569.96124455
"2022-10-17",0.162,155626.670496326
"2022-10-31",0.247,439356.036593779
"2022-11-14",0.24,453154.722674573
"2022-11-28",0.264,244192.705270214
"2022-12-12",0.183,390277.731136205
"2023-05-01",0.147,214589.14116071
